name,strand,Assay title,ontology_curie,biosample_name,biosample_type,data_source,nonzero_mean,grp
hCAGE UBERON:0001602,+,hCAGE,UBERON:0001602,medial rectus extraocular muscle,tissue,fantom,72.61691284179688,
hCAGE UBERON:0001603,+,hCAGE,UBERON:0001603,lateral rectus extra-ocular muscle,tissue,fantom,64.0296401977539,
hCAGE UBERON:0001637,+,hCAGE,UBERON:0001637,artery,tissue,fantom,176.23216247558594,ARTERY
hCAGE UBERON:0001638,+,hCAGE,UBERON:0001638,vein,tissue,fantom,73.34970092773438,
hCAGE UBERON:0001723,+,hCAGE,UBERON:0001723,tongue,tissue,fantom,45.90983963012695,
hCAGE UBERON:0001736,+,hCAGE,UBERON:0001736,submandibular gland,tissue,fantom,97.6734390258789,
hCAGE UBERON:0001797,+,hCAGE,UBERON:0001797,vitreous humor,tissue,fantom,51.01124954223633,
hCAGE UBERON:0001831,+,hCAGE,UBERON:0001831,parotid gland,tissue,fantom,186.81967163085938,
hCAGE UBERON:0001870,+,hCAGE,UBERON:0001870,frontal cortex,tissue,fantom,25.70257568359375,BRAIN
hCAGE UBERON:0001871,+,hCAGE,UBERON:0001871,temporal lobe,tissue,fantom,17.146074295043945,
hCAGE UBERON:0001872,+,hCAGE,UBERON:0001872,parietal lobe,tissue,fantom,10.531946182250977,
hCAGE UBERON:0001873,+,hCAGE,UBERON:0001873,caudate nucleus,tissue,fantom,17.615751266479492,BRAIN
hCAGE UBERON:0001874,+,hCAGE,UBERON:0001874,putamen,tissue,fantom,17.454984664916992,BRAIN
hCAGE UBERON:0001875,+,hCAGE,UBERON:0001875,globus pallidus,tissue,fantom,8.468856811523438,
hCAGE UBERON:0001876,+,hCAGE,UBERON:0001876,amygdala,tissue,fantom,17.60308837890625,
hCAGE UBERON:0001882,+,hCAGE,UBERON:0001882,nucleus accumbens,tissue,fantom,27.704946517944336,
hCAGE UBERON:0001894,+,hCAGE,UBERON:0001894,diencephalon,tissue,fantom,68.8881607055664,
hCAGE UBERON:0001896,+,hCAGE,UBERON:0001896,medulla oblongata,tissue,fantom,13.257373809814453,
hCAGE UBERON:0001897,+,hCAGE,UBERON:0001897,dorsal plus ventral thalamus,tissue,fantom,11.435539245605469,
hCAGE UBERON:0001905,+,hCAGE,UBERON:0001905,pineal body,tissue,fantom,27.537044525146484,
hCAGE UBERON:0001954,+,hCAGE,UBERON:0001954,Ammon's horn,tissue,fantom,15.256468772888184,
hCAGE UBERON:0001987,+,hCAGE,UBERON:0001987,placenta,tissue,fantom,48.42684555053711,
hCAGE UBERON:0002021,+,hCAGE,UBERON:0002021,occipital lobe,tissue,fantom,9.989048957824707,
hCAGE UBERON:0002022,+,hCAGE,UBERON:0002022,insula,tissue,fantom,25.655611038208008,
hCAGE UBERON:0002037,+,hCAGE,UBERON:0002037,cerebellum,tissue,fantom,12.268932342529297,BRAIN
hCAGE UBERON:0002038,+,hCAGE,UBERON:0002038,substantia nigra,tissue,fantom,21.84133529663086,BRAIN
hCAGE UBERON:0002046,+,hCAGE,UBERON:0002046,thyroid gland,tissue,fantom,22.91981315612793,
hCAGE UBERON:0002048,+,hCAGE,UBERON:0002048,lung,tissue,fantom,30.655853271484375,LUNG
hCAGE UBERON:0002079,+,hCAGE,UBERON:0002079,left cardiac atrium,tissue,fantom,165.6048126220703,HEART
hCAGE UBERON:0002084,+,hCAGE,UBERON:0002084,heart left ventricle,tissue,fantom,191.14132690429688,HEART
hCAGE UBERON:0002106,+,hCAGE,UBERON:0002106,spleen,tissue,fantom,28.623931884765625,IMMUNE
hCAGE UBERON:0002107,+,hCAGE,UBERON:0002107,liver,tissue,fantom,63.86726379394531,LIVER
hCAGE UBERON:0002108,+,hCAGE,UBERON:0002108,small intestine,tissue,fantom,68.11326599121094,INTESTINE
hCAGE UBERON:0002110,+,hCAGE,UBERON:0002110,gallbladder,tissue,fantom,72.35385131835938,
hCAGE UBERON:0002113,+,hCAGE,UBERON:0002113,kidney,tissue,fantom,23.436513900756836,
hCAGE UBERON:0002114,+,hCAGE,UBERON:0002114,duodenum,tissue,fantom,62.15086364746094,
hCAGE UBERON:0002118,+,hCAGE,UBERON:0002118,right ovary,primary_cell,fantom,29.06232452392578,
hCAGE UBERON:0002119,+,hCAGE,UBERON:0002119,left ovary,primary_cell,fantom,37.69746398925781,
hCAGE UBERON:0002134,+,hCAGE,UBERON:0002134,tricuspid valve,tissue,fantom,33.244747161865234,
hCAGE UBERON:0002135,+,hCAGE,UBERON:0002135,mitral valve,tissue,fantom,50.091373443603516,
hCAGE UBERON:0002146,+,hCAGE,UBERON:0002146,pulmonary valve,tissue,fantom,19.755334854125977,
